Project Details,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
No.,Categories,Info,Content,Remarks
1,Project Introduction,Full project name,RED HORSE,
2,,Token name / ticker,RED HORSE / RH,
3,,Token Icon / Logo,https://image2url.com/r2/default/images/1773640473067-b1d3ec44-73b3-4030-939a-62966c96ddd6.png,
4,,Project Description,"Red Horse is a Solana-based Web3 infrastructure project building a portable on-chain membership layer for crypto communities, brands, and ecosystems. It enables unified on-chain membership identities that can be used across communities, services, and Web3 applications.",
5,,Official Website,http://red-horse.net,
6,,Contract Address,A3rk5gtQ2S24Fhz8Ctfhjj2bDgK1SZF7fXvbH1Jty5Bp,SOL
7,,Block Explorer,https://solscan.io/token/A3rk5gtQ2S24Fhz8Ctfhjj2bDgK1SZF7fXvbH1Jty5Bp,
8,,"Project Type (i.e. DAO, DeFi, GameFi, NFT, AI etc)",Web3 Infrastructure / Membership Protocol / Loyalty / Community,
9,,Uses & Core Value,DAU: 1400 uses,
10,,Whitepaper Link,https://rh-project.gitbook.io/red-horse-rh,
11,Token's Current Status,Total Supply,"10,000,000,000 RH",
12,,Issuance Time,"13th, JAN, 2026",
13,,Issuance Price (USDT),0.007,
14,,Price Decimal (e.g. 5 = 0.0001),0.000001 (6),
15,,Amount Decimal (e.g. 2= 0.01),0.01 (2),
16,,"Token opening price (The opening price listed on BingX, in principle, the opening price of the first-time project is not lower than the IDO price, and the opening price of the non-first-time project is not lower than 20-30% of the market price):",0.007,
17,,When will the tokens start circulating on chain before listing?,Already circulating on-chain before listing.,
18,,What is the token distribution percentage structure (among users/market maker/etc.) of initial circulation upon listing?,"Users: 5% (Staked by approximately 800 users)
Liquidity Pool (MEXC): 1%",
19,,Tokenomics（Including Token Vesting Schedule）,"35% — Rewards Program
20% — Ecosystem & Partnerships
15% — Liquidity & Market Support
15% — Community Growth & Marketing
10% — Team & Contributors
5% — Treasury / Reserve

Vesting schedule: Not announced / TBD.",
20,,"IDO Price and Quantity, (if any)",-,
21,,"Private Sale Price or Seed Price, (if any)",-,
22,Communities,Twitter,https://x.com/Redhorse_DAO,
23,,Telegram,https://t.me/RedHorse_Rhcoin,
24,,,,
25,CEX,MEXC,https://www.mexc.com/exchange/RH_USDT,20.Mar.2026
38,,Entity Name,YU NETWORK SOCIEDAD DE RESPONSABILIDAD LIMITADA,
39,,Incorporated in (Country Name),Costa Rica / San José,
40,,Registered Office Address,"PROVINCIA 01 SAN JOSE, CANTON 02 ESCAZU, SAN RAFAEL, DEL CENTRO COMERCIAL LA PACO, TRESCIENTOS METROS NORTE, PLAZA FLORENCIA, LOCAL DIEZ, CODIGO POSTAL NUMERO UNO CERO DOS CERO TRES",
41,,Smart Contract Address,A3rk5gtQ2S24Fhz8Ctfhjj2bDgK1SZF7fXvbH1Jty5Bp,
42,,Name of Signatory,TAEHUN KIM,
43,,Title of Signatory,Manager / Legal Representative,
44,,Work Email of Signatory,info@red-horse.net,
